Categoria Ano;45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627;45658;Taxa de juros Média BCB (a.m.)
Familias Endividadas (% do total de famílias);0,780659647;0,779075722;0,781082874;0,784989975;0,788287424;0,788354569;0,784994318;0,779869551;0,772458973;0,768941728;0,769757019;0,766613454;0,76122044;
Familias com dívidas em atraso (% do total de famílias);0,28275399;0,281314437;0,285878594;0,286414619;0,285845659;0,288110894;0,288201733;0,288293298;0,289837617;0,292507184;0,293910305;0,293252337;0,291161314;
Não terão condição de pagar dívidas em atraso (% do total de famílias);0,119512675;0,118758239;0,120169882;0,120504492;0,119926036;0,120010921;0,119178026;0,120931718;0,12436446;0,126089064;0,129318666;0,129763677;0,126657917;
Tipo de dívida (% endividados);;;;;;;;;;;;;;
Cartão de crédito;0,868015902;0,868737125;0,8692455;0,870765356;0,868761436;0,863722364;0,860201351;0,856700797;0,843868811;0,835288237;0,838125253;0,838443187;0,839168433;0,1511
Cheque especial;0,045168293;0,042072848;0,040576468;0,040645706;0,039169114;0,037412578;0,03697124;0,036205065;0,035470068;0,036088969;0,036876129;0,035483736;0,034175761;0,0663
Cheque pré-datado;0,005979274;0,006176452;0,006463775;0,006596477;0,006338346;0,006312133;0,006076168;0,005550039;0,005564708;0,005872362;0,005904728;0,005534083;0,004775452;0,0228
Crédito consignado;0,057583656;0,05997486;0,064485062;0,06423943;0,058989648;0,056423573;0,056435303;0,05740661;0,05760548;0,0566719;0,055138565;0,054685539;0,054816245;0,02199394
Crédito pessoal;0,096687879;0,09886937;0,102380597;0,101235846;0,097566417;0,099283533;0,105652547;0,110319079;0,116690191;0,120362113;0,117200069;0,113992179;0,109274348;0,0663
Carnês;0,161950929;0,158479754;0,159831714;0,162133928;0,162099379;0,159707216;0,157153243;0,156405164;0,159105354;0,162645985;0,16303227;0,165485578;0,167713604;
Financiamento de carro;0,08356798;0,086123565;0,087369414;0,08917112;0,087032951;0,083908407;0,08357887;0,081755285;0,081257777;0,082832096;0,084324161;0,08641624;0,087801859;0,0188
Financiamento de casa;0,084267631;0,087473249;0,086918259;0,086972829;0,087463297;0,088661407;0,090564;0,088844156;0,088205229;0,089687692;0,089513048;0,088107303;0,088178842;0,009052172
Outras dívidas;0,027347061;0,027464505;0,026345587;0,027371524;0,028568535;0,027228523;0,025755399;0,025391712;0,025633165;0,024922869;0,02364513;0,024401158;0,026972361;
Não sabe;0,000131914;0,000254701;0,000157089;0,000125871;0,000124597;0;0;0;0;4,66924E-05;0,000110319;7,40423E-05;1,15952E-05;
Não respondeu;0,000234334;2,01703E-05;0;0,000352196;0,0003819;0,000252867;0,000221731;0;0;1,78356E-05;0,000209104;0,000253812;0,000161585;
Tempo médio de pagamento em atraso, entre as famílias com conta/dívidas em atraso (em dias);63,45518036;63,60489349;63,88742591;63,99879597;64,01715017;64,41740321;64,85570198;65,28206295;66,0243611;65,95157899;65,48333251;65,17691333;64,98940691;
Tempo médio de comprometimento com dívida (em meses);6,964948458;7,027193556;7,094463963;7,135240884;7,115735176;7,134292187;7,181761356;7,196231257;7,229108997;7,256790618;7,308254414;7,36484972;7,374627157;
Parcela média da renda comprometida com dívida (% da renda);0,304004955;0,303659338;0,302383002;0,301959493;0,301291835;0,298982816;0,29612349;0,296124586;0,29730872;0,298544278;0,297624762;0,297854533;0,299915043;